audiofile_520310b0cf57e
-20.00	0.80
114.099998	135.490005	2139
83.510002	98.500000	1499
33.689999	47.590000	1390
19.930000	33.540001	1361
10.050000	18.620001	856
75.519997	82.720001	720
57.119999	64.129997	701
144.500000	151.449997	694
151.740005	158.580002	684
49.439999	56.029999	659
106.370003	112.739998	637
68.440002	74.599998	615
99.080002	105.139999	606
137.429993	142.179993	475
